[datetime.datetime(2000, 1, 1, 18, 8, 57, 627754, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9351
[datetime.datetime(2001, 1, 1, 18, 9, 25, 760377, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0006
[datetime.datetime(2002, 1, 1, 18, 9, 16, 375525, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9782
[datetime.datetime(2003, 1, 1, 18, 9, 7, 769307, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9561
[datetime.datetime(2004, 1, 1, 18, 8, 59, 291302, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9347
[datetime.datetime(2005, 1, 1, 18, 9, 27, 25423, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0013
[datetime.datetime(2006, 1, 1, 18, 9, 17, 649654, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9793
[datetime.datetime(2007, 1, 1, 18, 9, 8, 712225, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9584
[datetime.datetime(2008, 1, 1, 18, 9, 0, 21440, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9376
[datetime.datetime(2009, 1, 1, 18, 9, 26, 626449, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0053
[datetime.datetime(2010, 1, 1, 18, 9, 17, 386122, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9842
[datetime.datetime(2011, 1, 1, 18, 9, 8, 667719, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9638
[datetime.datetime(2012, 1, 1, 18, 9, 0, 860638, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9442
[datetime.datetime(2013, 1, 1, 18, 9, 27, 473940, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0117
[datetime.datetime(2014, 1, 1, 18, 9, 18, 546573, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9906
[datetime.datetime(2015, 1, 1, 18, 9, 9, 823382, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9691
[datetime.datetime(2016, 1, 1, 18, 9, 0, 612977, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9484
[datetime.datetime(2017, 1, 1, 18, 9, 28, 22206, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0156
[datetime.datetime(2018, 1, 1, 18, 9, 19, 679062, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9932
[datetime.datetime(2019, 1, 1, 18, 9, 10, 265220, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9710
[datetime.datetime(2020, 1, 1, 18, 9, 1, 621428, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9488
[datetime.datetime(2021, 1, 1, 18, 9, 28, 303065, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0154
[datetime.datetime(2022, 1, 1, 18, 9, 18, 316778, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9922
[datetime.datetime(2023, 1, 1, 18, 9, 9, 607276, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9703
[datetime.datetime(2024, 1, 1, 18, 9, 1, 45630, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9493
[datetime.datetime(2025, 1, 1, 18, 9, 28, 714743, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0167
[datetime.datetime(2026, 1, 1, 18, 9, 19, 995412, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9954
[datetime.datetime(2027, 1, 1, 18, 9, 10, 591234, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9739
[datetime.datetime(2028, 1, 1, 18, 9, 2, 607707, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9540
[datetime.datetime(2029, 1, 1, 18, 9, 30, 563750, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0228
[datetime.datetime(2030, 1, 1, 18, 9, 21, 96560, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0014
[datetime.datetime(2031, 1, 1, 18, 9, 12, 344383, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9808
[datetime.datetime(2032, 1, 1, 18, 9, 2, 957470, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9599
[datetime.datetime(2033, 1, 1, 18, 9, 29, 628211, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0284
[datetime.datetime(2034, 1, 1, 18, 9, 20, 600963, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0062
[datetime.datetime(2035, 1, 1, 18, 9, 11, 307041, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9846
[datetime.datetime(2036, 1, 1, 18, 9, 3, 41019, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9632
[datetime.datetime(2037, 1, 1, 18, 9, 30, 950572, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0306
[datetime.datetime(2038, 1, 1, 18, 9, 20, 955678, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0073
[datetime.datetime(2039, 1, 1, 18, 9, 12, 491286, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9845
[datetime.datetime(2040, 1, 1, 18, 9, 4, 267294, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9631
[datetime.datetime(2041, 1, 1, 18, 9, 31, 683507, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0304
[datetime.datetime(2042, 1, 1, 18, 9, 23, 783056, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0082
[datetime.datetime(2043, 1, 1, 18, 9, 14, 162404, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9861
[datetime.datetime(2044, 1, 1, 18, 9, 5, 132646, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9645
[datetime.datetime(2045, 1, 1, 18, 9, 32, 917649, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0337
[datetime.datetime(2046, 1, 1, 18, 9, 22, 580454, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0111
[datetime.datetime(2047, 1, 1, 18, 9, 14, 534571, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9906
[datetime.datetime(2048, 1, 1, 18, 9, 6, 604640, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9703
[datetime.datetime(2049, 1, 1, 18, 9, 33, 433433, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0395
[datetime.datetime(2050, 1, 1, 18, 9, 25, 618211, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0184
[datetime.datetime(2051, 1, 1, 18, 9, 16, 186382, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9967
[datetime.datetime(2052, 1, 1, 18, 9, 7, 965294, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9761
[datetime.datetime(2053, 1, 1, 18, 9, 36, 967909, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0452
[datetime.datetime(2054, 1, 1, 18, 9, 26, 899888, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0223
[datetime.datetime(2055, 1, 1, 18, 9, 18, 296200, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9997
[datetime.datetime(2056, 1, 1, 18, 9, 9, 693955, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9774
[datetime.datetime(2057, 1, 1, 18, 9, 35, 763733, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0451
[datetime.datetime(2058, 1, 1, 18, 9, 27, 777106, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0219
[datetime.datetime(2059, 1, 1, 18, 9, 18, 921393, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9996
[datetime.datetime(2060, 1, 1, 18, 9, 10, 286465, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9772
[datetime.datetime(2061, 1, 1, 18, 9, 39, 255522, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0465
[datetime.datetime(2062, 1, 1, 18, 9, 29, 115342, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0232
[datetime.datetime(2063, 1, 1, 18, 9, 20, 885032, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0013
[datetime.datetime(2064, 1, 1, 18, 9, 13, 747215, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9810
[datetime.datetime(2065, 1, 1, 18, 9, 40, 790053, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0504
[datetime.datetime(2066, 1, 1, 18, 9, 33, 188772, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0294
[datetime.datetime(2067, 1, 1, 18, 9, 24, 349056, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0080
[datetime.datetime(2068, 1, 1, 18, 9, 14, 698228, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9867
[datetime.datetime(2069, 1, 1, 18, 9, 43, 462402, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0574
[datetime.datetime(2070, 1, 1, 18, 9, 33, 365455, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0345
[datetime.datetime(2071, 1, 1, 18, 9, 25, 45949, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0130
[datetime.datetime(2072, 1, 1, 18, 9, 18, 62502, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9915
[datetime.datetime(2073, 1, 1, 18, 9, 44, 455548, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0604
[datetime.datetime(2074, 1, 1, 18, 9, 36, 702689, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0373
[datetime.datetime(2075, 1, 1, 18, 9, 28, 403800, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0145
[datetime.datetime(2076, 1, 1, 18, 9, 19, 401862, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9918
[datetime.datetime(2077, 1, 1, 18, 9, 49, 91472, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0612
[datetime.datetime(2078, 1, 1, 18, 9, 39, 247560, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0376
[datetime.datetime(2079, 1, 1, 18, 9, 30, 56849, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0142
[datetime.datetime(2080, 1, 1, 18, 9, 22, 623523, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9925
[datetime.datetime(2081, 1, 1, 18, 9, 48, 577800, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0618
[datetime.datetime(2082, 1, 1, 18, 9, 41, 50689, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0397
[datetime.datetime(2083, 1, 1, 18, 9, 33, 353657, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0186
[datetime.datetime(2084, 1, 1, 18, 9, 24, 331584, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,245.9968
[datetime.datetime(2085, 1, 1, 18, 9, 54, 11860, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0688
[datetime.datetime(2086, 1, 1, 18, 9, 44, 469760, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0461
[datetime.datetime(2087, 1, 1, 18, 9, 35, 801986, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0245
[datetime.datetime(2088, 1, 1, 18, 9, 29, 588788, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0040
[datetime.datetime(2089, 1, 1, 18, 9, 56, 539375, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0743
[datetime.datetime(2090, 1, 1, 18, 9, 48, 640096, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0520
[datetime.datetime(2091, 1, 1, 18, 9, 40, 514259, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0292
[datetime.datetime(2092, 1, 1, 18, 9, 30, 368815, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0062
[datetime.datetime(2093, 1, 1, 18, 9, 59, 266121, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0762
[datetime.datetime(2094, 1, 1, 18, 9, 49, 939601, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0522
[datetime.datetime(2095, 1, 1, 18, 9, 40, 979401, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0287
[datetime.datetime(2096, 1, 1, 18, 9, 34, 540759, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0062
[datetime.datetime(2097, 1, 1, 18, 10, 1, 457569, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0761
[datetime.datetime(2098, 1, 1, 18, 9, 53, 209231, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0525
[datetime.datetime(2099, 1, 1, 18, 9, 46, 488976, tzinfo=<DstTzInfo 'Asia/Kolkata' IST+5:30:00 STD>)] ,246.0305